Timestamp,Sensor_A,Sensor_B,Previous_Correlation,Current_Correlation,Correlation_Change
2/17/2023 6:05,Overspeed Press,Tank Level,-0.531659034,0.96961826,1.501277294
4/8/2023 21:05,Overspeed Press,Tank Level,0.886939533,-0.478188359,1.365127892
4/8/2023 21:05,Line Pressure,Overspeed Press,0.747198436,-0.549182128,1.296380564
7/2/2022 5:39,Main Pump Press,Overspeed Press,-0.261976562,0.985637987,1.247614549
2/17/2023 6:05,Filter DP,Overspeed Press,0.427793643,-0.650958412,1.078752055
4/8/2023 21:05,Overspeed Press,Tank Temp,0.943291528,-0.126338326,1.069629853
2/17/2023 6:05,Overspeed Press,Tank Temp,-0.07679116,0.954201571,1.030992732
2/17/2023 6:05,Tank Level,Tank Temp,-0.018922147,0.975467761,0.994389908
4/8/2023 21:05,Tank Temp,Vapor Press,-0.853474331,0.137670612,0.991144943
4/8/2023 21:05,Main Pump Press,Tank Temp,0.893359056,-0.086158615,0.979517671
8/3/2021 20:38,Overspeed Press,Tank Level,0.98146215,0.038341995,0.943120155
5/12/2022 23:24,Main Pump Press,Overspeed Press,0.867350302,-0.068249596,0.935599898
4/8/2023 21:05,Tank Level,Vapor Press,-0.712635388,0.197315172,0.90995056
7/12/2021 8:25,Overspeed Press,Tank Level,0.106639603,0.988048095,0.881408492
4/8/2023 21:05,Main Pump Press,Overspeed Press,0.848917581,-0.00859399,0.857511571
2/17/2023 6:05,Line Pressure,Overspeed Press,-0.262439625,0.578825886,0.841265512
8/31/2022 6:02,Main Pump Press,Overspeed Press,0.029781058,0.856003561,0.826222503
12/24/2021 6:25,Main Pump Press,Tank Temp,-0.308930136,0.507540214,0.81647035
12/18/2024 0:06,Main Pump Press,Overspeed Press,-0.030418097,0.783346532,0.813764629
2/17/2023 6:05,Tank Level,Vapor Press,0.014859473,-0.795695551,0.810555024
2/17/2023 6:05,Line Pressure,Vapor Press,-0.022440881,-0.815540352,0.793099471
4/8/2023 21:05,Line Pressure,Vapor Press,-0.64582279,0.143645776,0.789468566
2/17/2023 6:05,Overspeed Press,Vapor Press,0.087567036,-0.700873855,0.788440891
12/24/2021 6:25,Overspeed Press,Tank Temp,-0.301942395,0.481037507,0.782979902
2/17/2023 6:05,Filter DP,Tank Temp,-0.011916716,-0.763719462,0.751802746
8/8/2022 17:57,Main Pump Press,Overspeed Press,0.731212541,0.000153995,0.731058546
12/24/2021 6:25,Main Pump Press,Overspeed Press,0.263285117,0.991442361,0.728157245
4/8/2023 21:05,Main Pump Press,Vapor Press,-0.889915758,-0.16425302,0.725662738
10/12/2021 23:06,Filter DP,Vapor Press,0.59723158,-0.128412618,0.725644198
4/8/2023 21:05,Tank Level,Tank Temp,0.902558368,0.180142546,0.722415822
12/18/2024 0:06,Line Pressure,Overspeed Press,-0.049047063,-0.747793351,0.698746287
12/24/2021 6:25,Line Pressure,Main Pump Press,0.192419851,-0.502871677,0.695291529
7/2/2022 5:39,Overspeed Press,Tank Level,-0.031998001,0.647845218,0.679843219
12/24/2021 6:25,Line Pressure,Overspeed Press,0.194569942,-0.484495889,0.679065831
5/12/2022 23:24,Line Pressure,Main Pump Press,-0.726145875,-0.052831093,0.673314781
4/8/2023 21:05,Main Pump Press,Tank Level,0.697923332,0.026244634,0.671678698
5/12/2022 23:24,Line Pressure,Overspeed Press,-0.838090293,-0.169453269,0.668637024
7/27/2021 8:42,Line Pressure,Tank Temp,-0.036233103,-0.7026344,0.666401297
5/23/2023 17:30,Overspeed Press,Tank Temp,0.21444424,0.86709477,0.65265053
8/21/2022 5:26,Line Pressure,Tank Temp,-0.691393121,-0.073592948,0.617800173
5/12/2022 23:24,Line Pressure,Vapor Press,-0.201113994,0.401440381,0.602554374
3/5/2025 12:53,Overspeed Press,Tank Temp,0.673505641,0.078367324,0.595138317
2/17/2023 6:05,Tank Temp,Vapor Press,-0.121189075,-0.706616952,0.585427877
4/12/2022 8:49,Overspeed Press,Tank Level,0.949380614,0.36838792,0.580992694
2/17/2023 6:05,Filter DP,Vapor Press,-0.247149358,0.332041739,0.579191097
5/12/2022 23:24,Overspeed Press,Tank Temp,0.623582106,0.045319107,0.578262999
4/8/2023 21:05,Line Pressure,Tank Level,0.825740046,0.247493664,0.578246382
4/12/2022 8:49,Tank Level,Tank Temp,0.927833602,0.36062207,0.567211532
6/13/2025 12:08,Main Pump Press,Overspeed Press,-0.205703254,-0.770708826,0.565005572
4/8/2023 21:05,Line Pressure,Main Pump Press,0.558260794,-1.15E-14,0.558260794
4/8/2023 21:05,Overspeed Press,Vapor Press,-0.836020354,-0.284501298,0.551519057
5/23/2023 17:30,Line Pressure,Tank Temp,0.184812558,-0.357106324,0.541918882
12/28/2024 0:15,Line Pressure,Overspeed Press,-0.705315564,-0.167307706,0.538007858
5/12/2022 23:24,Main Pump Press,Tank Temp,0.540007532,0.004987772,0.53501976
5/10/2022 11:26,Main Pump Press,Overspeed Press,0.334330479,0.867350302,0.533019823
12/24/2021 6:25,Filter DP,Main Pump Press,0.210995612,-0.320909663,0.531905275
7/2/2022 5:39,Main Pump Press,Tank Level,0.146679408,0.672162943,0.525483535
3/9/2022 18:03,Filter DP,Overspeed Press,-0.746539547,-0.229969737,0.51656981
4/1/2025 5:37,Overspeed Press,Tank Level,0.209170231,0.72537279,0.516202559
2/17/2023 6:05,Line Pressure,Tank Temp,-0.053815305,0.454916415,0.508731719
6/1/2024 16:24,Overspeed Press,Tank Level,-0.588859911,-0.080181202,0.508678709
4/12/2022 8:49,Line Pressure,Tank Level,-0.806051621,-0.297759352,0.508292269
5/12/2022 23:24,Overspeed Press,Vapor Press,0.459621876,-0.047470676,0.507092552
5/12/2022 23:24,Line Pressure,Tank Temp,-0.533826252,-0.033522247,0.500304005
4/8/2023 21:05,Line Pressure,Tank Temp,0.724103581,0.224210433,0.499893149
11/9/2021 11:54,Filter DP,Tank Level,-0.511222048,-0.011511648,0.4997104
5/12/2022 23:24,Main Pump Press,Vapor Press,0.328554498,-0.1703001,0.498854599
5/19/2023 2:29,Tank Level,Vapor Press,-0.626804872,-0.136304551,0.490500321
3/9/2022 18:03,Filter DP,Tank Temp,-0.764441236,-0.277501574,0.486939663
7/2/2022 5:39,Line Pressure,Overspeed Press,0.02088986,-0.465008139,0.485897999
6/29/2021 20:25,Filter DP,Tank Temp,-0.668179989,-0.185054599,0.48312539
9/22/2021 23:24,Line Pressure,Tank Temp,-0.18318646,-0.664228813,0.481042352
9/5/2021 8:56,Filter DP,Tank Level,-0.421569857,0.054438247,0.476008104
11/11/2023 20:23,Main Pump Press,Overspeed Press,-0.127023795,0.34672279,0.473746585
9/27/2022 17:42,Line Pressure,Tank Temp,-0.016983564,-0.486652171,0.469668607
12/24/2021 6:25,Filter DP,Overspeed Press,0.163881332,-0.301996111,0.465877443
8/16/2021 9:01,Line Pressure,Tank Temp,-0.60085616,-0.14884452,0.452011639
6/27/2023 20:12,Overspeed Press,Tank Temp,0.550152062,0.099584999,0.450567063
12/18/2024 0:06,Overspeed Press,Tank Temp,-0.010644009,0.437836167,0.448480177
6/1/2024 16:24,Main Pump Press,Tank Level,-0.547268916,-0.100370415,0.446898501
8/8/2022 17:57,Line Pressure,Overspeed Press,-0.394116669,0.050881926,0.444998595
7/2/2022 5:39,Line Pressure,Main Pump Press,-0.022068352,-0.463653939,0.441585587
9/5/2021 8:56,Filter DP,Vapor Press,-0.14978873,0.285977101,0.43576583
1/12/2022 11:22,Overspeed Press,Vapor Press,0.004234062,0.436857507,0.432623445
10/10/2022 5:54,Main Pump Press,Overspeed Press,0.78155371,0.352756019,0.428797691
5/10/2022 11:26,Line Pressure,Main Pump Press,-0.29838777,-0.726145875,0.427758104
12/28/2024 0:15,Line Pressure,Main Pump Press,-0.54677523,-0.119413542,0.427361688
6/17/2021 11:22,Tank Level,Vapor Press,0.041150152,0.466451755,0.425301602
6/27/2021 9:16,Tank Level,Vapor Press,0.476281674,0.053925169,0.422356505
3/9/2022 18:03,Filter DP,Main Pump Press,-0.397858375,0.016426007,0.414284382
12/18/2024 0:06,Line Pressure,Main Pump Press,-0.169943062,-0.580956633,0.411013571
3/5/2025 12:53,Main Pump Press,Tank Temp,0.479103409,0.068843992,0.410259417
5/30/2022 11:17,Filter DP,Tank Level,0.037777001,-0.370145596,0.407922598
3/9/2022 18:03,Filter DP,Vapor Press,-0.484071372,-0.07711671,0.406954662
5/31/2025 5:49,Line Pressure,Tank Level,-0.124791318,-0.531241275,0.406449957
2/17/2023 6:05,Line Pressure,Tank Level,0.165989405,0.569398497,0.403409093
3/24/2024 0:12,Main Pump Press,Tank Level,-0.070758664,-0.469263368,0.398504704
4/1/2025 5:37,Main Pump Press,Tank Level,0.164331757,0.558853799,0.394522043
4/12/2022 8:49,Tank Level,Vapor Press,0.596404229,0.204579268,0.391824961
5/4/2023 2:03,Tank Level,Vapor Press,0.088289048,-0.297279448,0.385568495
4/6/2023 9:25,Line Pressure,Tank Level,0.441836694,0.825740046,0.383903351
12/24/2021 6:25,Overspeed Press,Tank Level,-0.074293125,0.306379615,0.380672741
7/19/2025 0:12,Line Pressure,Tank Level,-0.530375321,-0.159765339,0.370609982
12/18/2024 0:06,Line Pressure,Tank Temp,-0.017325056,-0.38667462,0.369349564
4/9/2022 20:27,Line Pressure,Overspeed Press,-0.453893965,-0.821450277,0.367556313
4/9/2022 20:27,Filter DP,Tank Level,-0.295667441,0.069908441,0.365575882
12/18/2024 0:06,Main Pump Press,Tank Temp,-0.015715639,0.348390316,0.364105955
7/2/2022 5:39,Main Pump Press,Tank Temp,-0.011366865,0.351024359,0.362391224
7/31/2024 16:25,Filter DP,Line Pressure,0.209368074,-0.149522154,0.358890228
7/2/2022 5:39,Overspeed Press,Tank Temp,-0.01348521,0.343298259,0.356783469
1/21/2022 20:19,Tank Temp,Vapor Press,0.28704738,0.639793513,0.352746133
8/8/2022 17:57,Line Pressure,Main Pump Press,-0.300305525,0.050908535,0.351214059
4/9/2022 20:27,Line Pressure,Tank Temp,-0.476188644,-0.826805263,0.350616619
4/9/2022 20:27,Line Pressure,Tank Level,-0.455558546,-0.806051621,0.350493075
4/14/2025 12:08,Main Pump Press,Overspeed Press,0.309274237,-0.040933386,0.350207623
8/6/2021 8:48,Filter DP,Tank Temp,-0.166421771,-0.514651237,0.348229466
4/26/2023 9:13,Main Pump Press,Tank Level,0.157628125,-0.184415694,0.34204382
5/23/2023 17:30,Line Pressure,Overspeed Press,-0.162850101,-0.503504094,0.340653994
5/10/2022 11:26,Line Pressure,Vapor Press,-0.532289774,-0.201113994,0.331175781
5/26/2024 0:13,Filter DP,Tank Temp,-0.327495184,-0.000832348,0.326662835
12/24/2021 6:25,Main Pump Press,Tank Level,-0.007459581,0.319077793,0.326537374
5/26/2023 8:23,Filter DP,Line Pressure,-0.212967534,0.10681151,0.319779044
11/14/2021 11:45,Tank Level,Vapor Press,-0.059431074,-0.379032876,0.319601802
6/25/2024 0:20,Main Pump Press,Vapor Press,0.201393076,0.518565799,0.317172723
8/21/2022 5:26,Filter DP,Line Pressure,0.360138386,0.044502576,0.31563581
5/5/2024 16:22,Main Pump Press,Vapor Press,0.553963995,0.238489989,0.315474006
12/2/2024 5:27,Tank Level,Vapor Press,-0.17738849,0.136208998,0.313597489
3/5/2025 12:53,Overspeed Press,Vapor Press,0.074616198,0.387641535,0.313025337
5/5/2024 16:22,Overspeed Press,Vapor Press,0.48850981,0.17701441,0.3114954
3/24/2024 0:12,Main Pump Press,Vapor Press,-0.047266704,0.257797957,0.305064661
1/19/2024 0:20,Main Pump Press,Tank Level,-0.332061121,-0.027646709,0.304414412
